paragraph,human generated title
"Adoption of a relatively young technology that has yet to establish a robust performance  track record and achieve lower capital and operating costs, but offers significant improvement  potential in terms of lower CO2 capture costs, can be realized. Meticulous attention to technical  design, operating standards and associated costs can deliver commercial attractiveness and  competitiveness with other power generation technologies. As highlighted in the knowledge  products, the PRC is well positioned to benefit from economies of scale through limiting  production costs, and standardization. However, reaching the necessary performance  requirements for the plant is critical. Continuing research and improvements to enhance efficiency  and bring down O&M costs will be indispensable.",New technology offers great potential in the right circumstances. 
"Obtaining assistance from international and national experts in the field is helpful. The  grant-funded consultants conducted technical studies that identified areas of improvement in the  design and operating procedures, and the monitoring and control of plant performance  parameters. These supplemented the knowledge and observations of the plant operators and  maintenance personnel.",The role of experts
"The Tianjin IGCC demonstration project is the first of its kind not only in the PRC, but in  any developing member country. Valuable lessons can be shared with other developing member  countries that are contemplating such projects. Comparison of international experiences with that  of the PRC as well as valuable lessons learned in the development of IGCC technology are well  documented in the knowledge products funded by the grant. Importantly, a roadmap for CCS  technology was also prepared in parallel with the project's implementation, which lends this  project and the IGCC technology in an advantageous position for future application of the CCS at  this plant to reduce its carbon foot prints.29 Continuing collaboration with industry leaders, policy  makers and experts through exchange of information can pave the way for larger replication of  the IGCC power plants throughout the PRC. 29 The roadmap for CCS demonstration and deployment in the PRC (ADB. 2Roadmap for Carbon Capture and Storage Demonstration and Deployment. Manila.) was jointly prepared by ADB and NDRC's Department of Climate  Change, which is spearheading CCS commercial development in the PRC. It was jointly launched in a high-level  side event at the Community of Practice (COP) 21 meetings in Paris. CCS is included as an important technology in  PRC's nationally determined contributions under the Paris Agreement.",Collaboration across stakeholders in the energy project
"Incentivizing efficiency. The time-based nature of contracts used for the CPIU  consultant did not provide any incentives for quality delivery. Further, there were no specific  incentives to encourage the government to meet its obligations, particularly in recruiting critical  roles and contributing funding to the NTF as planned. While the Sustainable Transport  Infrastructure Improvement Program has adopted results-based lending, program implementation  remains challenging, with several of the DLIs not met in 2Ongoing support for the results- based approach will be required.",Contracting type and incentives scheme in the transport sector
"Long-term approach. Consistent with the lessons from recent projects (footnote 7),  achieving a sector-based approach as a focal point for funding and donor coordination is a long- term journey. The project built a solid foundation for further progress in developing a  programmatic, results-based approach. Sequencing for the Sustainable Transport Infrastructure  Improvement Program should ensure an early focus on sustaining government ownership,  institutionalizing effective asset management, and improving the quality of civil works.",Result-based approach for transport projects
"Information needs and analysis. Major project decisions were made without sufficient  data and analysis, such as shifting from rehabilitation to maintenance after the midterm review  without any business case or economic assessment. The Sustainable Transport Infrastructure  Improvement Program would benefit from a more rigorous understanding of assumptions,  benefits, and costs. Preparation for larger projects requires greater support from development  partners to minimize cost overruns, delays, and other hurdles such as land.38",Evidence based project decision making 
"Key lessons derived from the project design, implementation and completion: (i) Successful implementation of infrastructure project requires adequate social  preparation and continued engagement with the local communities. The project  was successful in engaging with local communities and address their immediate  needs with social infrastructure and support services. This helped gain their trust  and buy-in for the project. (ii) Since the MFF will be executed in 10 years, adequate institutional capacity within  the executing and implementing agencies is required. It was premature for a new  state with weak capacity. Other financing options would have been more  appropriate. (iii) Uttarakhand being a special category state, 90% of the central government  external debt fund is passed on to the project as a grant. However, the CERC Tariff  Regulation does not allow its return, interest, and depreciation in the revenue  calculation. While grant funding may benefit end-users due to a lower tariff, it may  not be an appropriate funding model for a revenue-earning agency like PTCUL. (iv) The project DMF had indicated a risk factor in achieving the project outcome  should the hydro projects not be completed on time. However, the risk mitigation  measures were not adequately planned. (v) Core functions of UED are administrative in nature; its priority and focus are mostly  on policy formulation and regulation of energy sector for the state. UED did not  have adequate project management and engineering staff. Hence, for UED, the  role as a project executing agency was conflicting and therefore, it was less  effective. The PMO also could not contribute effectively except as a role of the  secretariat. (vi) The second component of the project on institutional strengthening did not have a  need-based framework for capacity development in the project design stage. For  capacity development, the project could have benefitted from establishing cross- learning processes in project management, technical competency, and social  engineering among PTCUL, UJVNL and UED with other utilities. In the absence of  strong PMO and UED's ownership, the mid-term review of late 2012 also could not  help in developing such cross-learning framework.",Selection of financing modality and institutional capacity strengthening
"Covenants and conditions in the loan agreement and the project agreement. The  project should avoid conditions and covenants that cannot be measured, monitored and  managed. They should be properly monitored and managed by keeping at a manageable number.",Covenants and conditions in the loan agreement and the project agreement. 
"MFF success and impediments factors. ADB should undertake a thematic study on  barriers to MFF implementation and enabling environment, so that member countries can be  advised on the suitability of MFF for development intervention. Such evaluation can provide cross  learning on key barriers to MFF approach, and the ways to mitigate them with innovative solutions.",MFF success and impediments factors need to be evaluated. 
"Ensure the implementation period is realistic. The project implementation plan should  be realistic. Sufficient time for project readiness, such as the environmental and social  preparation, and for buy-ins from the local communities and stakeholders should be factored in.  Other issues such as, procurement capacity of the entities need to be properly assessed and  factored.",Ensure realistic implementation period
"Ensure high due diligence of associated facilities. Due diligence of associated  facilities, funded by the private sector and other agencies, and identification of the likely risks and  their proper mitigation are critical to the success of the projects. Appropriate agreements on the  use of facilities, and the risk-sharing and guaranteed revenue mechanism with beneficiaries and  end-users must be ensured at the project appraisal stage and before the financing commitment.",Ensure high due diligence of associated facilities. 
"The following major lessons emerged from the project:   (i) Although activities for disseminating the sustainable reservoir rehabilitation and 22  The methodology is provided in ADB. 2Guidelines for the Evaluation of Public Sector Operations. Manila. management models established under the loan and associated TA were actively  conducted and continue to be conducted, replication of the models beyond  Shandong is beyond the project's control; it can be lengthy, and depends on  decisions by other governments. (ii) Effective use of advance contracting and retroactive financing ensured efficient  project implementation and helped enable all project activities to be completed by  the original loan closing date. (iii) The main reason the contract price is lower than the engineering estimate is  inaccuracies in the engineering cost estimate. (iv) The initial imprest account ceiling was set at 10% of the approved loan amount;  this proved insufficient for a project that effectively used advance contracting and  retroactive financing, and was increased to 15% of the approved loan amount. (v) Public participation should have been strengthened by involving more local people  who lived in low density areas around the subproject sites, far from communities. (vi) The establishment of a good and workable grievance redress procedure is  important in resolving grievances. (vii) Dialogue and consultation with affected persons helps in resolving grievances.  (viii) Smooth LAR implementation benefits from careful preparation of resettlement plans during project preparation, including clear definition of land ownership,  strong coordination between project preparation consultants and executing and  implementing agencies, and understanding of resettlement plans by executing and  implementing agencies before ADB approval of the resettlement plans.","Project planning, management and due diligence.  "
"Design and monitoring framework. Some of the expected performance targets and  indicators formulated in the DMF were aligned more with the overall investment program, and a  separate DMF for the project was not prepared. Apart from the DMF for the MFF, a DMF should  be prepared for each tranche under the MFF, which should be distinct, specific, and directly  attributable to the respective tranche so that its achievement against the project-specific  indicators and targets can be suitably evaluated.",MFF Project processing including DMF development  
"Post-construction performance-based maintenance. The contractors' performance in  post-construction performance-based maintenance was poor due to the inadequate deployment  of equipment and labor, primarily due to the low rates quoted for post-construction maintenance  for these contracts. Due to their general construction orientation, the contractors did not carry  out post-construction maintenance adequately. In addition, PWD staff were unfamiliar with  supervising performance-based maintenance contracts. It was difficult to determine the  contractors' liability according to performance parameters for damage caused by heavy rains,  snow, or geological factors, which are highly prevalent in Uttarakhand. These lessons were  incorporated under subsequent tranches by strengthening the contractual provisions for  undertaking post-construction maintenance and conducting training and capacity-building  programs for the PWD staff and contractors.",Role of the post-construction phase critical to success. 
"Infrastructure management component. The project's infrastructure management  component delivered useful reports imparting an international outlook as to how the PWD  should be reorganized and perform its operations. However, the consultants' short 1-year  contract period resulted in inadequate interaction between the IMC and the PWD's senior  management and slowed the achievement of the milestones established under the project's  infrastructure management component. A longer contract period for consulting services and  more intensive inputs are required to sensitize the PWD's senior management and state  government and facilitate the design and implementation of an institutional development and  capacity- building program. Nonetheless, activities initiated during the services of IMC were   continued by the consultants engaged under subsequent tranches of the MFF.",Better alignment of the timing and terms of reference of the consultant with the project's capacity building objectives.
"Optimize project management. To strengthen project management, it is vital to (i) clearly  define the roles and responsibilities of members of the project leading group to intensify  interdepartmental cooperation; and (ii) make efforts to minimize replacement of staff to ensure  continuity in project management experience and smoother implementation.",Clearly define project lead roles and responsibilities and minimize staff turnover to strengthen project management.  
"Project preparation is important. A key element of the project's success was the  preparation of templates for the production base construction contract, the loan guarantee 16  ADB. 2Guidelines for the Evaluation of Public Sector Operations. Manila. contract, and the onlending contract, which standardized the implementation of activities across  the project. Although the process took time to prepare in the first year of implementation, once  completed, it was easy to implement and resulted in timely project completion.","Advance preparation of standard document templates is needed to ensure standardized, timely project implementation."
"Access to rural finance is transformative. The project achieved its objective to increase  rural incomes through improved agriculture production by giving loans to poor rural households,  which allowed them to invest in perennial, annual, and livestock production. These loans were  suitable for poor rural farmers because they had lower interest rates and longer tenors than the  loans typically available at commercial banks. They were more in line with the return on  investments that can be achieved from agricultural production systems, and allowed the poor  households to repay them without undue stress. All households that took out loans used the funds  for the purpose intended and repaid the loans. Giving the poor access to finance can enable them  to seize opportunities to increase their incomes and improve their livelihoods.",Access to rural finance is needed to increase poor rural farmer incomes.
"Technical support and training are crucial elements. Access to technical training was  the most appreciated aspect of the project after access to loans. The training provided those who  took out loans with the skills, knowledge, and capacity to apply good agriculture practices and  use latest technologies such as water-efficient irrigation systems and integrated pest  management, all of which resulted in high-quality produce. Farmers were confident to manage  their production systems with the new skills they learned and could access the follow-up technical  support provided.",Technical training is needed to give borrowers skills in good agriculture practices to deliver high-quality produce.
Establishing market links benefits the poor. Awareness about markets and access to  market information meant the farmers could make informed trading decisions. Additional benefit  was gained when individual farmers linked up with agro-enterprises through guaranteed buyback  schemes. Farmers could benefit from higher prices than those available in the open market and  now have a secured income source based on buyback contracts. Agro-enterprises benefited from  access to commodities that were of the required quality and strengthened their resource base.  The “enterprise + production base + farmer” model that was applied in this project was successful  and demonstrated that market links can be mutually beneficial.,Awareness campaigns about market links benefit the poor with higher prices and the buyers with security of supply. 
"Bills of quantities. In the main civil works contract, bills of quantities were sometimes  overly complex and time-consuming in measuring simple items of work. For instance, for simple  culverts, there could be 11 separate items requiring small measurements: excavation, gravel  bedding, lean mix concrete foundation, pipes, pipe joints, reinforcing in end walls, concrete volume in end walls, waterproofing, and backfilling. If the requirements were specified and  detailed on the drawings, a simple linear meter rate incorporating all those items would have been  included. Once the work had been inspected and found compliant, measurement would have  been simpler and more accurate. This approach would have simplified contract administration  without any negative impact on project cost and quality.",Clear contract terms and input requirements are needed to more quickly and accurately confirm completion of works. 
"Design and specification changes. During implementation, some designs and  specifications were revised to better adjust to site conditions and improve the quality of  construction material. Some of the engineering design standards (e.g., Asian Highway standards)  and the design-and-build approach used in the main civil works contract were new to the  executing agency, which led to some misunderstandings. This required resolution by  management staff from the contractor, PMWSC, and PIURR, which took a lot of time and delayed  the addressing of project requirements. If this approach is to be used, care is needed in project  and bidding document preparation so (i) the contractor can program its design and works in  accordance with its method statement, and (ii) the executing agency can ensure approval of the  engineering design in accordance with prevailing government procedures. Regarding (ii), a  clearer framework is needed to ensure that design or specification changes are reviewed by  relevant authorities and approved in a timely fashion. This will avoid causing contractual delays  while enhancing the transparency and robustness of audit processes.",Clear design and bidding document specifications are required for process transparency and to avoid contracting delays  
"Capacity development. Most of the previous TA and projects in Tajikistan's road sector  had capacity development elements within their scope. This led to short and piecemeal inputs  over time, which made it difficult to sustain benefits at the institutional and sector levels. This was  compounded by the staff turnover in MOT management and the overall focus on civil works and  disbursements. Further emphasis is needed on capacity development to advance the road  sustainability agenda and deliver on the country's transport sector master plan (footnote 14).",Increased emphasis on capacity development is required to advance the road sustainability agenda in the transport sector
"Design and monitoring framework. The baselines and targets included in the project  DMF should have been based on reliable and easily accessible data. The DMF indicators should  have been carefully defined to better align with country's commitments and ADB results  framework while leveraging existing global monitoring tools and platforms such as the Sustainable  Development Goals. At the project level, for instance, traffic and fatalities are better measured by  “density targets” i.e., average daily vehicle-km or average crash rate per 100,000 vehicle-km of  travel.",Design and monitoring frameworks targets should be based on reliable and available data to measure project progress. 
"Following the lessons learned from the completed 220 kV GIS, the project applied a  different approach and arrangement as remedial action for civil works acceleration. Based on their  nature, the construction works were divided into five different lots to employ more local  subcontractors47 (against only one involved in the 220 kV GIS project) to enable them to have  access to larger man power and civil material resources, and to work simultaneously thus  reducing further delays and poor performance in the completion of civil works.",Dividing up civil works in lots and employing more local subcontractors improved quality and timeliness of civil works.
"Although the project's output was successfully and fully completed, there were  procurement and implementation delays. These delays point to the need to allow adequate time  for tendering and implementation due to NHEPP energy shut-down schedules, logistical  challenges (i.e., mountainous location, regional transportation obstacles, and absence of air  transport), complexity of and difficulties in civil works, and limited local sources. Also, ADB should  ensure that in future BT and PMU fully understand its procurement processes from project  inception through training and explanation in the project administration memorandum of the  importance of timely and accurate procurement.",Project plans must have adequate time to deliver projects in complex circumstances while complying with ADB processes. 
"As the newly built 500 kV GIS comprises advanced technology and is the first of this type  in Tajikistan, its proper and reliable O&M requires new skills. Therefore, further onsite training  and extension of the defect liability period from 18 months to 24 months are needed to ensure the  sustainability of the project's operational life. 45 Business enterprises and the population benefit from a stable electricity supply service and long-term cost reductions resulting from the economic distribution of electricity from NHEPP and the efficiencies gained from the enhanced  transmission. 46 Through NHEPP's new sustainable and reliable power generation the (i) the crucial role of frequency regulation in  Central Asia will be achieved again, and (ii) surplus energy to Uzbekistan (through the 500 kV Nurek–Regar–Guzar  transmission lines) will be supplied again after Tajikistan's power system reconnection to CAPS (expected in 2018). 47  Subcontractors were selected among the prequalified, locally available companies and approved by BT. The  prequalification was based on (i) contractor experience, (ii) references, (iii) staff capacity (workers and engineers),  and (iv) availability of machinery.",Appropriate training programs are required to support operation and maintenance of projects using new technology.
"The design and monitoring framework performance indicators are likely ambitious and  need to be adequately defined, measurable, and specific to the project area, and should be limited  to those that are needed and relevant. One performance indicator, for BT to become financially  viable by 2011, will take many more years before this can be achieved as the successful  completion of the three-phase restructuring process of BT comprising commercialization,  separation, and privatization is required.",Performance indicators need to be measurable and within the scope of the project to be of use in determining success.
"Lessons from the preparation and implementation of the project are: (i) Care should be taken to endure that research topics are in line with the  government's macro level priorities. As discussed in paragraph 17, the financing  framework study had to be cancelled because the financing responsibility was  moved from the EA to the local government. (ii) Identification of the locations for rural village bus service pilots should be  demand-driven and consistent with the development priorities of county level  governments. As stated in paragraph 15, two pilot sites (Shipai and Xiaowei)  were cancelled because there were already established bus routes within their  areas with committed resources. (iii) Risk management should consider major factors beyond the control of the  executing agency, such as the 4 km road link to the XME that required the  agreement of the Jiangsu provincial government, and thus was outside the  control of the APG (see paragraph 25 and 36). (iv) The traffic forecast should have been more realistic and considered low traffic volume in the initial years of operation. It should have excluded the  uncontrollable factors such as the traffic volume of the 4 km linking section (see  paragraph 36 and paragraph 5 and 6 in Appendix 8).",Local conditions must be considered in the design of PRC transport projects to ensure appropriate design and planning.
"For project implementation, ADB should have a special mechanism that focuses on  acknowledging or rewarding advanced technology and the use of new materials, especially for  projects with outstanding achievement in these areas. Such new technologies and materials  should be shared not only within the PRC but also through South-South cooperation.",New special technology should be shared in South-South cooperation. 
"The project has highlighted the technical and commercial uncertainties associated with  hydropower development. The cost of constructing such projects might be affected by the  geotechnical conditions of the project area, which are very difficult (and expensive) to fully assess  during appraisal.",Hydropower development has technical and commercial uncertainties.
"Due to the nature of middle-scale hydropower development, thorough risk assessment on  possible impacts on the environment is essential, and careful monitoring of impact during  construction phase is required.",Middle-scale hydropower development requires thorough environmental risk assessment.
"Project management. For this project, the appointment of an inexperienced project  manager without relevant work experience in Viet Nam resulted in an avoidable delay in the  commissioning of the hydropower plant. Appointing experienced project management experts is  important.",the importance of relevant experience
Allocation of investment funds on the basis of governance performance is an effective  approach to introduce good policies and practices at local levels without much controversy and  motivate local governments to improve public services.,Performance-based investment funding can support improved governance
"Reinforced cement concrete structures are considered more sustainable compared to  bituminous paving in secondary towns, particularly in coastal and flood prone areas for road  construction.",Sustainability of cement concrete roads in coastal and flood areas. 
"Wherever possible, an irrigation development project should include basic agricultural  development activities. In the absence of such activities the impact of the irrigation project might  not be clearly visible. The lack of integration of agricultural development activities with the Project  had some dormant effect on the real impact of the Project. It is rather unfortunate that despite huge  investment in the development of irrigation infrastructure, improved farming systems are still absent  in Rajapur.",Functional linkage of subcomponents in project design
"The capacity building of the executing agency should be duly considered at the project  design. As the expensive irrigation structures are handed over to farmers who are less literate,  there must be sufficient training in O&M. Efficient water distribution and allocation practices should  be designed and implemented. The executing agency needs to establish a linkage between  irrigation service provided and collection of irrigation service fee in order to promote sustainability.  ADB and other funding agencies should consider introducing farm-level water management with  improved cultural practices to those projects that they financed earlier.","Title 1: EA capacity building

Title 2: Sustainability of irrigation service"
"The results of the prefeasibility study should be subject to further examination in the  feasibility study in complex engineering project. As the preliminary study of the Interconnection  conducted by NPC suggested one particular option, NPC was reluctant to include a comparative  study to examine alternatives in the Consultant's TOR, and ADB accepted this position. As a  result, the Project experienced some delays and additional costs when the recommendation of  the POE on the configuration of the Interconnection (para. 28) was adopted. ADB and EAs  should be cautious not to limit technical alternatives to a minimum number, and to make TORs  flexible enough to allow consultants to propose other alternatives that should benefit the  projects, especially in complex engineering studies.",Complex studies require flexible consultant TORs
